,style,black,white,grey,red,green,yellow,orange,tan/brown,pink,blue,desc
0,adidas-yeezy-boost-350-low-v2-beluga,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,steeple gray/beluga/solar red
1,adidas-yeezy-boost-350-v2-core-black-copper,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,core black/copper/core black
2,adidas-yeezy-boost-350-v2-core-black-green,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,core black/green/core black
3,adidas-yeezy-boost-350-v2-core-black-red,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,core black/core black/red
4,adidas-yeezy-boost-350-v2-core-black-red-2017,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,core black/red/core black
5,adidas-yeezy-boost-350-v2-core-black-white,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,core black/core white/core black
6,adidas-yeezy-boost-350-v2-cream-white,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cream / white
7,adidas-yeezy-boost-350-v2-zebra,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,white/core black/red
8,adidas-yeezy-boost-350-low-moonrock,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,agate gray/moonrock-agate gray
9,nike-air-max-90-off-white,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,black/black-cone-white
10,nike-air-presto-off-white,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black/black-muslin
11,nike-air-vapormax-off-white,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black/white-clear
12,air-jordan-1-retro-high-off-white-chicago,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,white/black-varsity red
13,nike-blazer-mid-off-white,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,white/black-muslin
